segment_id,carretera,comunidad_autonoma,road_centroid_lat,road_centroid_lon,prob_needs_station,n_chargers_proposed,estimated_demand_kw
1025,N-401,08 - C.La Mancha,39.00117,-3.928287,0.991121415636716,12,1800
705,N-211,02 - Aragón,40.89068725,-0.769281125,0.9905478887248528,9,1350
733,N-232A,02 - Aragón,41.1665005,-0.267938975,0.9895952895219396,1,150
734,N-232A,02 - Aragón,41.1665005,-0.267938975,0.9895952895219396,1,150
702,N-204,unknown,40.60329611854644,-3.2475414818784625,0.9890108785134488,7,1050
744,N-232A,02 - Aragón,41.1665005,-0.267938975,0.9889851967209532,1,150
737,N-232A,02 - Aragón,41.1665005,-0.267938975,0.9889851967209532,1,150
739,N-232A,02 - Aragón,41.1665005,-0.267938975,0.9889851967209532,1,150
731,N-232A,02 - Aragón,41.1665005,-0.267938975,0.9880455818030568,1,150
735,N-232A,02 - Aragón,41.1665005,-0.267938975,0.9879723851723632,1,150
738,N-232A,02 - Aragón,41.1665005,-0.267938975,0.9879723851723632,1,150
732,N-232A,02 - Aragón,41.1665005,-0.267938975,0.9879723851723632,1,150
589,N-111A,unknown,40.60329611854644,-3.2475414818784625,0.985024226714764,2,300
202,A-43,unknown,40.60329611854644,-3.2475414818784625,0.9837454610263612,6,900
1273,N-627,unknown,40.60329611854644,-3.2475414818784625,0.9810574876745776,7,1050
587,N-111,unknown,40.60329611854644,-3.2475414818784625,0.9788813305899708,11,1650
395,AP-36,unknown,40.60329611854644,-3.2475414818784625,0.978282281556101,13,1950
1030,N-401A,unknown,40.60329611854644,-3.2475414818784625,0.9758881800821269,1,150
200,A-43,unknown,40.60329611854644,-3.2475414818784625,0.9757444603171646,6,900
1480,C-17,unknown,40.60329611854644,-3.2475414818784625,0.9744314569451048,1,150
590,N-111R,unknown,40.60329611854644,-3.2475414818784625,0.9728035856808004,1,150
703,N-211,02 - Aragón,40.89068725,-0.769281125,0.9692358570771156,12,1800
704,N-211,02 - Aragón,40.89068725,-0.769281125,0.9692358570771156,13,1950
743,N-232A,02 - Aragón,41.1665005,-0.267938975,0.9680651355000855,1,150
1077,N-430A,04 - Illes Balears,38.855915,-1.0582102999999998,0.9658465171548344,1,150
1076,N-430A,04 - Illes Balears,38.855915,-1.0582102999999998,0.9658465171548344,1,150
742,N-232A,02 - Aragón,41.1665005,-0.267938975,0.9657197127489928,1,150
1171,N-525,12 - Galicia,42.239736173913045,-7.41895087826087,0.9641762498956754,12,1800
1248,N-620,07 - C.León,40.88084816666667,-6.082079,0.9631084086782082,7,1050
741,N-232A,02 - Aragón,41.1665005,-0.267938975,0.9619212953580004,1,150
1272,N-625,07 - C.León,43.063635000000005,-5.176884,0.9616400457530294,8,1200
736,N-232A,02 - Aragón,41.1665005,-0.267938975,0.960743328072262,1,150
748,N-232A,02 - Aragón,41.1665005,-0.267938975,0.959279047225332,1,150
740,N-232A,02 - Aragón,41.1665005,-0.267938975,0.959279047225332,1,150
749,N-232A,02 - Aragón,41.1665005,-0.267938975,0.9576803075146556,1,150
75,A-12,02 - Aragón,42.7742082,-1.71073916,0.9569476704534798,8,1200
823,N-310,04 - Illes Balears,39.22780575,-2.8627575,0.9569193123360646,15,2250
747,N-232A,02 - Aragón,41.1665005,-0.267938975,0.953214617360138,1,150
1078,N-430A,04 - Illes Balears,38.855915,-1.0582102999999998,0.9530018050901408,1,150
196,A-40,04 - Illes Balears,40.036398,-3.0597341428571427,0.9522504885586534,9,1350
1271,N-625,07 - C.León,43.063635000000005,-5.176884,0.9506470927244448,5,750
1152,N-502,11 - Extremadura,39.171155,-5.0502515,0.9506059009156812,25,3750
1154,N-502,11 - Extremadura,39.171155,-5.0502515,0.9506059009156812,14,2100
393,AP-2,09 - Catalunya,41.424217,0.940793,0.9502941521786076,12,1800
394,AP-2,09 - Catalunya,41.424217,0.940793,0.9454040923507128,12,1800
633,N-122,07 - C.León,41.66026316666667,-4.04776028,0.9434832407625798,7,1050
1160,N-502A,11 - Extremadura,39.959625,-4.8439505,0.9432998304256174,1,150
836,N-322,01 - Andalucía,38.4994819,-2.62118187,0.9428499725248062,11,1650
1267,N-623,07 - C.León,42.897181,-3.8030181,0.9406315275734852,14,2100
1075,N-430A,04 - Illes Balears,38.855915,-1.0582102999999998,0.9393709348661404,1,150
128,A-23,02 - Aragón,40.94914264285715,-0.6890011357142857,0.9380326838201234,7,1050
1023,N-400,04 - Illes Balears,40.00753675,-3.08509975,0.9374873415933392,6,900
1247,N-620,07 - C.León,40.88084816666667,-6.082079,0.9371443250430754,9,1350
1029,N-401A,unknown,40.60329611854644,-3.2475414818784625,0.9328692977986422,1,150
1079,N-430A,04 - Illes Balears,38.855915,-1.0582102999999998,0.9291407197359584,1,150
1028,N-401A,unknown,40.60329611854644,-3.2475414818784625,0.9275545311403588,1,150
761,N-234,02 - Aragón,40.81503716,-1.4893046799999998,0.926795993293202,9,1350
1044,N-420,04 - Illes Balears,39.91592186363636,-1.6798922227272726,0.9238876511014736,8,1200
226,A-5,11 - Extremadura,39.88401233962264,-4.850067267924528,0.9222036586095278,7,1050
730,N-232,02 - Aragón,42.02341233333333,-1.7262802000000002,0.9208610931690534,10,1500
1159,N-502A,11 - Extremadura,39.959625,-4.8439505,0.9187938046409304,1,150
1161,N-502A,11 - Extremadura,39.959625,-4.8439505,0.9187938046409304,1,150
807,N-2A,09 - Catalunya,42.23784061538462,2.9526228,0.910202354136075,1,150
723,N-232,02 - Aragón,42.02341233333333,-1.7262802000000002,0.9080907139102848,8,1200
133,A-23,02 - Aragón,40.94914264285715,-0.6890011357142857,0.9023338589970268,7,1050
1065,N-430,04 - Illes Balears,39.02738935714286,-4.762463907142857,0.9019345754460494,23,3450
1072,N-430A,04 - Illes Balears,38.855915,-1.0582102999999998,0.8998012984782009,1,150
1074,N-430A,04 - Illes Balears,38.855915,-1.0582102999999998,0.8990955666055972,1,150
1071,N-430,04 - Illes Balears,39.02738935714286,-4.762463907142857,0.8979894778333553,15,2250
137,A-23,02 - Aragón,40.94914264285715,-0.6890011357142857,0.8974400198544257,1,150
745,N-232A,02 - Aragón,41.1665005,-0.267938975,0.8972693359610416,1,150
746,N-232A,02 - Aragón,41.1665005,-0.267938975,0.8972693359610416,1,150
577,N-110A,unknown,40.60329611854644,-3.2475414818784625,0.8916488835929514,1,150
1285,N-630,11 - Extremadura,40.27573135555556,-6.011571837777778,0.8889870920592537,6,900
1162,N-502A,11 - Extremadura,39.959625,-4.8439505,0.8868235148790495,1,150
1307,N-630A,11 - Extremadura,40.3880945,-5.75356525,0.878105126456152,1,150
1309,N-630A,11 - Extremadura,40.3880945,-5.75356525,0.878105126456152,1,150
750,N-232A,02 - Aragón,41.1665005,-0.267938975,0.8761846353494436,1,150
1069,N-430,04 - Illes Balears,39.02738935714286,-4.762463907142857,0.870093480487974,1,150
298,A-66,07 - C.León,41.33765845945946,-5.922790189189189,0.8700632762968667,7,1050
1293,N-630,11 - Extremadura,38.68730236,-6.05058244,0.86932242145781,1,150
